Concurso,Fecha,Local,Visitante,Resultado,Match text
2277,4/19/2025 14:30,Columbus,Miami,V,"Fecha: 4/19 14:30, Partido: Columbus vs Miami"
2277,4/19/2025 18:00,Gremio,Inter PA,E,"Fecha: 4/19 18:00, Partido: Gremio vs Inter PA"
2277,4/19/2025 19:05,Toluca,Cruz Azul,E,"Fecha: 4/19 19:05, Partido: Toluca vs Cruz Azul"
2277,4/19/2025 21:15,Atlas,Guadalajara,E,"Fecha: 4/19 21:15, Partido: Atlas vs Guadalajara"
2277,4/20/2025 7:00,Fulham,Chelsea,V,"Fecha: 4/20 7:00, Partido: Fulham vs Chelsea"
2277,4/20/2025 9:15,Brestois,Lens,V,"Fecha: 4/20 9:15, Partido: Brestois vs Lens"
2277,4/20/2025 12:45,Milan,Atalanta,V,"Fecha: 4/20 12:45, Partido: Milan vs Atalanta"
2277,4/20/2025 13:00,O. Higgins,Palestino,L,"Fecha: 4/20 13:00, Partido: O. Higgins vs Palestino"
2277,4/20/2025 15:00,Sarmiento,Platense,V,"Fecha: 4/20 15:00, Partido: Sarmiento vs Platense"
2277,4/20/2025 19:00,San Luis,Pachuca,V,"Fecha: 4/20 19:00, Partido: San Luis vs Pachuca"
2278,4/27/2025 19:30,Monterrey,Pachuca,V,"Fecha: 4/27 19:30, Partido: Monterrey vs Pachuca"
2278,4/27/2025 17:00,Juarez,Pumas,E,"Fecha: 4/27 17:00, Partido: Juarez vs Pumas"
2278,4/26/2025 14:00,Barcelona,Real Madrid,E,"Fecha: 4/26 14:00, Partido: Barcelona vs Real Madrid"
2278,4/27/2025 7:00,Bournemouth,Man Utd,E,"Fecha: 4/27 7:00, Partido: Bournemouth vs Man Utd"
2278,4/26/2025 7:30,Wolfsburgo,Friburgo,V,"Fecha: 4/26 7:30, Partido: Wolfsburgo vs Friburgo"
2278,4/27/2025 9:15,Nantes,Toulouse,E,"Fecha: 4/27 9:15, Partido: Nantes vs Toulouse"
2278,4/26/2025 12:30,Toronto,NY City,V,"Fecha: 4/26 12:30, Partido: Toronto vs NY City"
2278,4/26/2025 8:00,Leuven,St Lieja,E,"Fecha: 4/26 8:00, Partido: Leuven vs St Lieja"
2278,4/26/2025 10:30,Spartak,CSKA,V,"Fecha: 4/26 10:30, Partido: Spartak vs CSKA"
2278,4/27/2025 11:00,AEK,Olympiacos,V,"Fecha: 4/27 11:00, Partido: AEK vs Olympiacos"
2278,4/27/2025 11:00,PAOK,Panathinaikos,L,"Fecha: 4/27 11:00, Partido: PAOK vs Panathinaikos"
2278,4/27/2025 12:30,River Plate,Boca,L,"Fecha: 4/27 12:30, Partido: River Plate vs Boca"
2278,4/26/2025 12:00,Aldosivi,Banfield,L,"Fecha: 4/26 12:00, Partido: Aldosivi vs Banfield"
2278,4/27/2025 9:00,Shakhtar,Dinamo,E,"Fecha: 4/27 9:00, Partido: Shakhtar vs Dinamo"
2279,5/3/2025 7:00,Cagliari,Udinese,V,"Fecha: 5/3 7:00, Partido: Cagliari vs Udinese"
2279,5/3/2025 7:00,Parma,Como,V,"Fecha: 5/3 7:00, Partido: Parma vs Como"
2279,5/3/2025 7:30,Union Berlin,W Bremen,E,"Fecha: 5/3 7:30, Partido: Union Berlin vs W Bremen"
2279,5/3/2025 10:30,Las Palmas,Valencia,V,"Fecha: 5/3 10:30, Partido: Las Palmas vs Valencia"
2279,5/3/2025 20:30,San José,Portland,L,"Fecha: 5/3 20:30, Partido: San José vs Portland"
2279,5/4/2025 6:30,G.A. Eagles,AZ Alkmaar,V,"Fecha: 5/4 6:30, Partido: G.A. Eagles vs AZ Alkmaar"
2279,5/4/2025 9:30,Chelsea,Liverpool,L,"Fecha: 5/4 9:30, Partido: Chelsea vs Liverpool"
2279,5/4/2025 11:00,Arouca,Casa Pia,E,"Fecha: 5/4 11:00, Partido: Arouca vs Casa Pia"
2279,5/4/2025 11:30,Mainz,Frankfurt,E,"Fecha: 5/4 11:30, Partido: Mainz vs Frankfurt"
2279,5/4/2025 12:45,Bologna,Juventus,E,"Fecha: 5/4 12:45, Partido: Bologna vs Juventus"
2279,5/4/2025 12:45,Lille,Marsella,E,"Fecha: 5/4 12:45, Partido: Lille vs Marsella"
2279,5/4/2025 13:00,R. Sociedad,Ath Bilbao,E,"Fecha: 5/4 13:00, Partido: R. Sociedad vs Ath Bilbao"
2279,5/4/2025 19:30,Monterrey,Pumas,L,"Fecha: 5/4 19:30, Partido: Monterrey vs Pumas"
2279,5/4/2025 19:30,Águilas,Pereira,E,"Fecha: 5/4 19:30, Partido: Águilas vs Pereira"
2280,5/10/2025 7:30,W. Bremen,Leipzig,E,"Fecha: 5/10 7:30, Partido: W. Bremen vs Leipzig"
2280,5/10/2025 8:00,Wolverhamp,Brighton,V,"Fecha: 5/10 8:00, Partido: Wolverhamp vs Brighton"
2280,5/10/2025 10:00,Lazio,Juventus,E,"Fecha: 5/10 10:00, Partido: Lazio vs Juventus"
2280,5/10/2025 11:00,Benfica,Sp Lisboa,E,"Fecha: 5/10 11:00, Partido: Benfica vs Sp Lisboa"
2280,5/10/2025 12:45,Empoli,Parma,L,"Fecha: 5/10 12:45, Partido: Empoli vs Parma"
2280,5/10/2025 14:30,Minnesota,Miami,L,"Fecha: 5/10 14:30, Partido: Minnesota vs Miami"
2280,5/10/2025 15:30,Vitoria BA,Vasco da GA,L,"Fecha: 5/10 15:30, Partido: Vitoria BA vs Vasco da GA"
2280,5/10/2025 18:30,Houston,Seattle,V,"Fecha: 5/10 18:30, Partido: Houston vs Seattle"
2280,5/10/2025 21:10,Águilas,Pachuca,L,"Fecha: 5/10 21:10, Partido: Águilas vs Pachuca"
2280,5/11/2025 5:00,Newcastle,Chelsea,L,"Fecha: 5/11 5:00, Partido: Newcastle vs Chelsea"
2280,5/11/2025 6:30,Feyenoord,PSV,V,"Fecha: 5/11 6:30, Partido: Feyenoord vs PSV"
2280,5/11/2025 8:15,Barcelona,Real Madrid,L,"Fecha: 5/11 8:15, Partido: Barcelona vs Real Madrid"
2280,5/11/2025 10:30,Din. Moscu,Spartak,L,"Fecha: 5/11 10:30, Partido: Din. Moscu vs Spartak"
2280,5/11/2025 19:00,C. Azul,León,L,"Fecha: 5/11 19:00, Partido: C. Azul vs León"
2281,5/17/2025 7:30,SC Freiburg,Frankfurt,V,"Fecha: 5/17 7:30, Partido: SC Freiburg vs Frankfurt"
2281,5/17/2025 11:00,AVS,Moreirense,V,"Fecha: 5/17 11:00, Partido: AVS vs Moreirense"
2281,5/17/2025 12:30,Montreal,Toronto,V,"Fecha: 5/17 12:30, Partido: Montreal vs Toronto"
2281,5/17/2025 12:30,Dundee Utd,Aberdeen,L,"Fecha: 5/17 12:30, Partido: Dundee Utd vs Aberdeen"
2281,5/17/2025 19:00,Toluca,Tigres,L,"Fecha: 5/17 19:00, Partido: Toluca vs Tigres"
2281,5/17/2025 19:00,Tampico,Leones N,L,"Fecha: 5/17 19:00, Partido: Tampico vs Leones N"
2281,5/17/2025 19:30,Portland,Seattle,E,"Fecha: 5/17 19:30, Partido: Portland vs Seattle"
2281,5/18/2025 6:30,PEC Zwolle,Groningen,L,"Fecha: 5/18 6:30, Partido: PEC Zwolle vs Groningen"
2281,5/18/2025 8:00,Brentford,Fulham,V,"Fecha: 5/18 8:00, Partido: Brentford vs Fulham"
2281,5/18/2025 12:45,Fiorentina,Bologna,L,"Fecha: 5/18 12:45, Partido: Fiorentina vs Bologna"
2281,5/18/2025 12:45,Roma,AC Milan,L,"Fecha: 5/18 12:45, Partido: Roma vs AC Milan"
2281,5/18/2025 13:00,Juventude,Fluminense,E,"Fecha: 5/18 13:00, Partido: Juventude vs Fluminense"
2281,5/18/2025 15:30,Bragantino,Palmeiras,V,"Fecha: 5/18 15:30, Partido: Bragantino vs Palmeiras"
2281,5/18/2025 19:15,América,Cruz Azul,L,"Fecha: 5/18 19:15, Partido: América vs Cruz Azul"
2282,5/24/2025 13:00,Alavés,Osasuna,E,"Fecha: 5/24 13:00, Partido: Alavés vs Osasuna"
2282,5/24/2025 17:30,Charlotte,Columbus,L,"Fecha: 5/24 17:30, Partido: Charlotte vs Columbus"
2282,5/24/2025 17:30,DC United,NY Red Bulls,V,"Fecha: 5/24 17:30, Partido: DC United vs NY Red Bulls"
2282,5/24/2025 17:30,Philadelphia,Inter Miami,E,"Fecha: 5/24 17:30, Partido: Philadelphia vs Inter Miami"
2282,5/24/2025 23:00,Shimizu,Vissel Kobe,L,"Fecha: 5/24 23:00, Partido: Shimizu vs Vissel Kobe"
2282,5/25/2025 0:00,FC Tokyo,Hiroshima,V,"Fecha: 5/25 0:00, Partido: FC Tokyo vs Hiroshima"
2282,5/25/2025 9:00,Nottingham Forest,Chelsea,V,"Fecha: 5/25 9:00, Partido: Nottingham Forest vs Chelsea"
2282,5/25/2025 9:00,Wolves,Brentford,E,"Fecha: 5/25 9:00, Partido: Wolves vs Brentford"
2282,5/25/2025 10:15,Benfica,Sporting,E,"Fecha: 5/25 10:15, Partido: Benfica vs Sporting"
2282,5/25/2025 12:45,Empoli,Verona,V,"Fecha: 5/25 12:45, Partido: Empoli vs Verona"
2282,5/25/2025 13:00,Athletic,Barcelona,V,"Fecha: 5/25 13:00, Partido: Athletic vs Barcelona"
2282,5/25/2025 13:00,Palmeiras,Flamengo,V,"Fecha: 5/25 13:00, Partido: Palmeiras vs Flamengo"
2282,5/25/2025 17:30,Fortaleza,Cruzeiro,V,"Fecha: 5/25 17:30, Partido: Fortaleza vs Cruzeiro"
2282,5/25/2025 19:00,Toluca,América,L,"Fecha: 5/25 19:00, Partido: Toluca vs América"
2283,5/31/2025 13:00,PSG,Inter Milan,L,"Fecha: 5/31 13:00, Partido: PSG vs Inter Milan"
2283,6/1/2025 19:00,Cruz Azul,Vancouver,L,"Fecha: 6/1 19:00, Partido: Cruz Azul vs Vancouver"
2283,5/31/2025 20:30,LAFC,América,E,"Fecha: 5/31 20:30, Partido: LAFC vs América"
2283,6/1/2025 9:00,Rostov,CSKA,E,"Fecha: 6/1 9:00, Partido: Rostov vs CSKA"
2283,5/31/2025 15:30,Bahia,São Paulo,L,"Fecha: 5/31 15:30, Partido: Bahia vs São Paulo"
2283,5/31/2025 18:00,Vasco,Bragantino,V,"Fecha: 5/31 18:00, Partido: Vasco vs Bragantino"
2283,6/1/2025 13:00,Santos,Botafogo,V,"Fecha: 6/1 13:00, Partido: Santos vs Botafogo"
2283,6/1/2025 13:00,Juventude,Grêmio,V,"Fecha: 6/1 13:00, Partido: Juventude vs Grêmio"
2283,6/1/2025 15:30,Ceará,Atlético MG,V,"Fecha: 6/1 15:30, Partido: Ceará vs Atlético MG"
2283,6/1/2025 16:30,Cruzeiro,Palmeiras,L,"Fecha: 6/1 16:30, Partido: Cruzeiro vs Palmeiras"
2283,5/31/2025 12:30,St. Louis,San Jose,L,"Fecha: 5/31 12:30, Partido: St. Louis vs San Jose"
2283,5/31/2025 18:30,Dallas,Philadelphia,E,"Fecha: 5/31 18:30, Partido: Dallas vs Philadelphia"
2283,5/31/2025 10:30,La Serena,Coquimbo,V,"Fecha: 5/31 10:30, Partido: La Serena vs Coquimbo"
2283,6/1/2025 13:00,Palestino,U Católica,E,"Fecha: 6/1 13:00, Partido: Palestino vs U Católica"
2284,6/7/2025 0:00,Japón Sub,México Sub,E,"Fecha: 6/7 0:00, Partido: Japón Sub vs México Sub"
2284,6/7/2025 10:00,Malta,Lituania,E,"Fecha: 6/7 10:00, Partido: Malta vs Lituania"
2284,6/7/2025 13:00,Almería,Oviedo,V,"Fecha: 6/7 13:00, Partido: Almería vs Oviedo"
2284,6/7/2025 13:30,Canadá,Ucrania,L,"Fecha: 6/7 13:30, Partido: Canadá vs Ucrania"
2284,6/7/2025 13:30,USA,Turquía,V,"Fecha: 6/7 13:30, Partido: USA vs Turquía"
2284,6/7/2025 14:00,México,Suiza,V,"Fecha: 6/7 14:00, Partido: México vs Suiza"
2284,6/7/2025 17:15,Tolima,América de Cali,E,"Fecha: 6/7 17:15, Partido: Tolima vs América de Cali"
2284,6/7/2025 17:30,DC United,Chicago Fire,V,"Fecha: 6/7 17:30, Partido: DC United vs Chicago Fire"
2284,6/8/2025 3:00,Yokohama FC,Cerezo Osaka,L,"Fecha: 6/8 3:00, Partido: Yokohama FC vs Cerezo Osaka"
2284,6/8/2025 7:00,Alemania,Francia,V,"Fecha: 6/8 7:00, Partido: Alemania vs Francia"
2284,6/8/2025 10:30,Racing Santander,Mirandés,E,"Fecha: 6/8 10:30, Partido: Racing Santander vs Mirandés"
2284,6/8/2025 13:00,Portugal,España,E,"Fecha: 6/8 13:00, Partido: Portugal vs España"
2284,6/8/2025 19:20,Once Caldas,Millonarios,E,"Fecha: 6/8 19:20, Partido: Once Caldas vs Millonarios"
2284,6/9/2025 6:00,Arabia Saudita Sub,Mali Sub,E,"Fecha: 6/9 6:00, Partido: Arabia Saudita Sub vs Mali Sub"
2285,6/14/2025 20:00,Al Ahly,Miami,E,"Fecha: 6/14 20:00, Partido: Al Ahly vs Miami"
2285,6/15/2025 13:00,Paris SG,Atlético Madrid,L,"Fecha: 6/15 13:00, Partido: Paris SG vs Atlético Madrid"
2285,6/15/2025 16:00,Palmeiras,Porto,E,"Fecha: 6/15 16:00, Partido: Palmeiras vs Porto"
2285,6/15/2025 20:00,Botafogo,Seattle,L,"Fecha: 6/15 20:00, Partido: Botafogo vs Seattle"
2285,6/14/2025 17:30,Columbus,Vancouver,L,"Fecha: 6/14 17:30, Partido: Columbus vs Vancouver"
2285,6/14/2025 17:30,New England,Cincinnati,V,"Fecha: 6/14 17:30, Partido: New England vs Cincinnati"
2285,6/14/2025 18:30,Austin,NY Red Bulls,L,"Fecha: 6/14 18:30, Partido: Austin vs NY Red Bulls"
2285,6/14/2025 18:30,Chicago,Nashville,V,"Fecha: 6/14 18:30, Partido: Chicago vs Nashville"
2285,6/14/2025 19:30,Colorado,Orlando,V,"Fecha: 6/14 19:30, Partido: Colorado vs Orlando"
2285,6/15/2025 13:00,Coquimbo,U Chile,L,"Fecha: 6/15 13:00, Partido: Coquimbo vs U Chile"
2285,6/15/2025 18:00,Ñublense,Audax,V,"Fecha: 6/15 18:00, Partido: Ñublense vs Audax"
2285,6/14/2025 13:00,CRB,Goiás,L,"Fecha: 6/14 13:00, Partido: CRB vs Goiás"
2285,6/14/2025 4:00,FC Tokyo,Cerezo Osaka,E,"Fecha: 6/14 4:00, Partido: FC Tokyo vs Cerezo Osaka"
2285,6/15/2025 3:30,Shimizu,Gamba Osaka,E,"Fecha: 6/15 3:30, Partido: Shimizu vs Gamba Osaka"
2286,6/21/2025 4:00,Kashima Antlers,Kyoto Sanga,E,"Fecha: 6/21 4:00, Partido: Kashima Antlers vs Kyoto Sanga"
2286,6/21/2025 4:00,Kawasaki Frontale,Vissel Kobe,V,"Fecha: 6/21 4:00, Partido: Kawasaki Frontale vs Vissel Kobe"
2286,6/21/2025 13:00,Oviedo,Mirandés,L,"Fecha: 6/21 13:00, Partido: Oviedo vs Mirandés"
2286,6/21/2025 15:30,Huachipato,Palestino,E,"Fecha: 6/21 15:30, Partido: Huachipato vs Palestino"
2286,6/21/2025 15:30,Emelec,Delfín,E,"Fecha: 6/21 15:30, Partido: Emelec vs Delfín"
2286,6/21/2025 19:00,River Plate,Monterrey,E,"Fecha: 6/21 19:00, Partido: River Plate vs Monterrey"
2286,6/22/2025 11:00,Liga de Quito,Independiente del Valle,E,"Fecha: 6/22 11:00, Partido: Liga de Quito vs Independiente del Valle"
2286,6/22/2025 13:00,Audax Italiano,Colo Colo,L,"Fecha: 6/22 13:00, Partido: Audax Italiano vs Colo Colo"
2286,6/22/2025 13:00,Coritiba,Cuiaba,L,"Fecha: 6/22 13:00, Partido: Coritiba vs Cuiaba"
2286,6/22/2025 13:00,Bolívar,The Strongest,V,"Fecha: 6/22 13:00, Partido: Bolívar vs The Strongest"
2286,6/22/2025 16:00,Salzburg,Al Hilal,E,"Fecha: 6/22 16:00, Partido: Salzburg vs Al Hilal"
2286,6/22/2025 18:00,Everton,O´Higgins,V,"Fecha: 6/22 18:00, Partido: Everton vs O´Higgins"
2286,6/22/2025 20:00,Mexico,Costa Rica,E,"Fecha: 6/22 20:00, Partido: Mexico vs Costa Rica"
2286,6/23/2025 13:00,Atlético Madrid,Botafogo,L,"Fecha: 6/23 13:00, Partido: Atlético Madrid vs Botafogo"
2287,6/28/2025 4:00,Fukuoka,Vissel Kobe,E,"Fecha: 6/28 4:00, Partido: Fukuoka vs Vissel Kobe"
2287,6/28/2025 10:00,Palmeiras,Botafogo,E,"Fecha: 6/28 10:00, Partido: Palmeiras vs Botafogo"
2287,6/28/2025 17:30,NY Red Bulls,Minnesota,E,"Fecha: 6/28 17:30, Partido: NY Red Bulls vs Minnesota"
2287,6/28/2025 17:30,Orlando,Cincinnati,V,"Fecha: 6/28 17:30, Partido: Orlando vs Cincinnati"
2287,6/28/2025 18:30,Kansas City,Salt Lake,E,"Fecha: 6/28 18:30, Partido: Kansas City vs Salt Lake"
2287,6/28/2025 20:15,Mexico,Arabia Saudita,L,"Fecha: 6/28 20:15, Partido: Mexico vs Arabia Saudita"
2287,6/29/2025 14:00,Flamengo,B Munich,V,"Fecha: 6/29 14:00, Partido: Flamengo vs B Munich"
2287,6/29/2025 16:00,Columbus,Filadelfia,L,"Fecha: 6/29 16:00, Partido: Columbus vs Filadelfia"
2287,6/29/2025 16:00,Chapecoense,Goias,E,"Fecha: 6/29 16:00, Partido: Chapecoense vs Goias"
2287,6/29/2025 17:00,EUA,Costa Rica,E,"Fecha: 6/29 17:00, Partido: EUA vs Costa Rica"
2287,6/29/2025 17:00,I. Medellin,Santa Fe,V,"Fecha: 6/29 17:00, Partido: I. Medellin vs Santa Fe"
2287,6/29/2025 17:00,Macara,Emelec,E,"Fecha: 6/29 17:00, Partido: Macara vs Emelec"
2287,6/30/2025 11:00,Mjallby,Malmo,E,"Fecha: 6/30 11:00, Partido: Mjallby vs Malmo"
2287,6/30/2025 13:00,Inter Milan,Fluminense,V,"Fecha: 6/30 13:00, Partido: Inter Milan vs Fluminense"
2287,6/28/2025 3:30,Shimizu,Kashiwa,V,"Fecha: 6/28 3:30, Partido: Shimizu vs Kashiwa"
2287,6/28/2025 4:30,FC Tokyo,Yokohama FC,L,"Fecha: 6/28 4:30, Partido: FC Tokyo vs Yokohama FC"
2287,6/28/2025 13:00,Vila Nova,Atletico GO,L,"Fecha: 6/28 13:00, Partido: Vila Nova vs Atletico GO"
2287,6/28/2025 17:30,Montreal,NY City,L,"Fecha: 6/28 17:30, Partido: Montreal vs NY City"
2287,6/28/2025 17:30,New England,Colorado,E,"Fecha: 6/28 17:30, Partido: New England vs Colorado"
2287,6/28/2025 18:30,Chicago,Charlotte,L,"Fecha: 6/28 18:30, Partido: Chicago vs Charlotte"
2287,6/28/2025 18:30,Dallas,San Diego,V,"Fecha: 6/28 18:30, Partido: Dallas vs San Diego"
2288,6/7/2025 17:00,EUA,MEXICO,V,"Fecha: 6/7 17:00, Partido: EUA vs MEXICO"
2288,5/7/2025 10:00,PARÍS S.G.,B MUNICH,L,"Fecha: 5/7 10:00, Partido: PARÍS S.G. vs B MUNICH"
2288,5/7/2025 13:00,FRANCIA F.,INGLAT F,L,"Fecha: 5/7 13:00, Partido: FRANCIA F. vs INGLAT F"
2288,5/7/2025 17:00,CHARLOTTE,ORLANDO,E,"Fecha: 5/7 17:00, Partido: CHARLOTTE vs ORLANDO"
2288,5/7/2025 18:30,NASHVILLE,FILADELFIA,L,"Fecha: 5/7 18:30, Partido: NASHVILLE vs FILADELFIA"
2288,5/7/2025 20:30,SAN JOSÉ,NY RBULLS,V,"Fecha: 5/7 20:30, Partido: SAN JOSÉ vs NY RBULLS"
2288,6/7/2025 15:00,SEATTLE,COLUMBUS,E,"Fecha: 6/7 15:00, Partido: SEATTLE vs COLUMBUS"
2288,5/7/2025 3:55,OKAYAMA,HIROSHIMA,V,"Fecha: 5/7 3:55, Partido: OKAYAMA vs HIROSHIMA"
2288,5/7/2025 13:00,REMO,CUIABA,E,"Fecha: 5/7 13:00, Partido: REMO vs CUIABA"
2288,5/7/2025 14:15,CIENCIANO,SP CRISTAL,E,"Fecha: 5/7 14:15, Partido: CIENCIANO vs SP CRISTAL"
2288,6/7/2025 17:00,DELFÍN,LDU QUITO,V,"Fecha: 6/7 17:00, Partido: DELFÍN vs LDU QUITO"
2288,6/7/2025 13:00,U. CATÓLICA,COLO COLO,L,"Fecha: 6/7 13:00, Partido: U. CATÓLICA vs COLO COLO"
2288,5/7/2025 11:00,FCSB,CFR CLUJ,L,"Fecha: 5/7 11:00, Partido: FCSB vs CFR CLUJ"
2288,5/7/2025 7:00,GAIS,MALMO,E,"Fecha: 5/7 7:00, Partido: GAIS vs MALMO"
2289,7/11/2025 21:00,JUAREZ,AGUILAS,E,"Fecha: 7/11 21:00, Partido: JUAREZ vs AGUILAS"
2289,7/12/2025 9:00,KRASNODAR,CSKA MOSCU,V,"Fecha: 7/12 9:00, Partido: KRASNODAR vs CSKA MOSCU"
2289,7/12/2025 15:30,VASCO DA GAMA,BOTAFOGO,V,"Fecha: 7/12 15:30, Partido: VASCO DA GAMA vs BOTAFOGO"
2289,7/12/2025 17:30,CHARLOTTE,NY CITY,L,"Fecha: 7/12 17:30, Partido: CHARLOTTE vs NY CITY"
2289,7/12/2025 17:30,CINCINNATI,COLUMBUS,V,"Fecha: 7/12 17:30, Partido: CINCINNATI vs COLUMBUS"
2289,7/12/2025 17:30,MIAMI,NASHVILLE,L,"Fecha: 7/12 17:30, Partido: MIAMI vs NASHVILLE"
2289,7/12/2025 18:00,BAHIA,AT MINEIRO,L,"Fecha: 7/12 18:00, Partido: BAHIA vs AT MINEIRO"
2289,7/12/2025 18:30,KANSAS CITY,SEATTLE,V,"Fecha: 7/12 18:30, Partido: KANSAS CITY vs SEATTLE"
2289,7/12/2025 19:00,S. LAGUNA,PUMAS,L,"Fecha: 7/12 19:00, Partido: S. LAGUNA vs PUMAS"
2289,7/12/2025 21:00,JUAREZ F,ATLAS F,E,"Fecha: 7/12 21:00, Partido: JUAREZ F vs ATLAS F"
2289,7/13/2025 6:00,GAIS,HAMMARBY,L,"Fecha: 7/13 6:00, Partido: GAIS vs HAMMARBY"
2289,7/13/2025 11:15,SARMIENTO,INDEPENDIEN,E,"Fecha: 7/13 11:15, Partido: SARMIENTO vs INDEPENDIEN"
2289,7/13/2025 15:45,ARGS JRS,BOCA JRS,E,"Fecha: 7/13 15:45, Partido: ARGS JRS vs BOCA JRS"
2289,7/13/2025 17:30,FORTALEZA,CEARA,V,"Fecha: 7/13 17:30, Partido: FORTALEZA vs CEARA"
2290,7/18/2025 21:00,SAN LUIS,MONTERREY,V,"Fecha: 7/18 21:00, Partido: SAN LUIS vs MONTERREY"
2290,7/18/2025 21:05,MAZATLÁN,PUEBLA,L,"Fecha: 7/18 21:05, Partido: MAZATLÁN vs PUEBLA"
2290,7/19/2025 7:00,DJURGARDEN,ELFSBORG,L,"Fecha: 7/19 7:00, Partido: DJURGARDEN vs ELFSBORG"
2290,7/19/2025 14:30,VASCO DA GAMA,GREMIO,E,"Fecha: 7/19 14:30, Partido: VASCO DA GAMA vs GREMIO"
2290,7/19/2025 17:30,NY R. BULLS,MIAMI,V,"Fecha: 7/19 17:30, Partido: NY R. BULLS vs MIAMI"
2290,7/19/2025 19:00,LEÓN,GUADALAJARA,L,"Fecha: 7/19 19:00, Partido: LEÓN vs GUADALAJARA"
2290,7/19/2025 21:05,ATLAS,C AZUL,E,"Fecha: 7/19 21:05, Partido: ATLAS vs C AZUL"
2290,7/20/2025 4:00,GAMBA OSAK,KAWASAKI,L,"Fecha: 7/20 4:00, Partido: GAMBA OSAK vs KAWASAKI"
2290,7/20/2025 10:00,UNIÓN SG,BRUJAS,V,"Fecha: 7/20 10:00, Partido: UNIÓN SG vs BRUJAS"
